dataset,num_rotations,bootstrap_size,num_trees,fold,accuracy,balanced_accuracy,f1_micro,f1_macro,precision,recall,jaccard
covtype,100,10,1,1,0.7196778024474622,0.3953469902820474,0.7196778024474622,0.3926614774461291,0.6868016032889195,0.7196778024474622,0.5546254053456153
covtype,100,10,1,2,0.7238661158592854,0.4018700490222365,0.7238661158592854,0.3993792146388358,0.6905148061190911,0.7238661158592854,0.5598543405860418
covtype,100,10,1,3,0.72339419572244,0.396200017030569,0.7233941957224399,0.39398405873637543,0.6902709558623503,0.72339419572244,0.5590579422933654
covtype,100,10,1,4,0.7234561306775105,0.39999138071202783,0.7234561306775105,0.39791634346358784,0.6896613443435416,0.7234561306775105,0.5593555797589106
covtype,100,10,1,5,0.7239457663211946,0.3986304409627955,0.7239457663211946,0.396155412426083,0.695186117094179,0.7239457663211946,0.5597676587638337
covtype,100,25,1,1,0.721183800623053,0.39576520214341526,0.721183800623053,0.39321696305840703,0.6878795523334388,0.721183800623053,0.5563309932496414
covtype,100,25,1,2,0.722615587618908,0.3985805785893811,0.7226155876189081,0.395958060875737,0.6892940965642456,0.722615587618908,0.5582671806339142
covtype,100,25,1,3,0.7225001719276528,0.39378392732962164,0.7225001719276528,0.39187622421581947,0.6894714392611091,0.7225001719276528,0.5579079458989874
covtype,100,25,1,4,0.7244382796884692,0.3999494234026302,0.7244382796884692,0.3975231612181022,0.690338538981551,0.7244382796884692,0.5605501309356374
covtype,100,25,1,5,0.7254742012210306,0.40415221291709275,0.7254742012210306,0.4020359181994496,0.6967363774569919,0.7254742012210306,0.5617545316355657
covtype,100,50,1,1,0.7216054801122184,0.39630314471540223,0.7216054801122185,0.39412442342365417,0.6887977419285489,0.7216054801122184,0.556950439146778
covtype,100,50,1,2,0.722313735974679,0.3974336492343678,0.722313735974679,0.39484880130123357,0.6892209085829206,0.722313735974679,0.5579033699379047
covtype,100,50,1,3,0.7224228044838732,0.39593163995921293,0.7224228044838732,0.39443091133147784,0.6939022190347104,0.7224228044838732,0.5579516675705158
covtype,100,50,1,4,0.7234992073885175,0.3982658443922262,0.7234992073885174,0.39587499431083434,0.6892184425930911,0.7234992073885175,0.5593880266698057
covtype,100,50,1,5,0.7247099837711126,0.39862356102781854,0.7247099837711126,0.3970689936993045,0.6963184930076243,0.7247099837711126,0.5606450789477391
covtype,10,10,10,1,0.7201080876404882,0.4032184405125773,0.7201080876404881,0.4031650746746919,0.6916183437305561,0.7201080876404882,0.5552450084774595
covtype,10,10,10,2,0.7151124181766436,0.40291472684944746,0.7151124181766435,0.4178914964235127,0.705302245378899,0.7151124181766436,0.5487098707711591
covtype,10,10,10,3,0.7233512138092291,0.42118528466277827,0.723351213809229,0.4328911013085904,0.6932144445028524,0.7233512138092291,0.5596709458133011
covtype,10,10,10,4,0.7194155351850575,0.3892194653225057,0.7194155351850574,0.38825111918009725,0.7120263631167472,0.7194155351850575,0.5538116959522252
covtype,10,10,10,5,0.7217046342489631,0.3776432511986008,0.7217046342489633,0.3740188222068857,0.6961076020481575,0.7217046342489631,0.555478924976781
covtype,10,25,10,1,0.7186020894648973,0.3989224093911289,0.7186020894648972,0.39489977628783945,0.6855462268870227,0.7186020894648973,0.5536254516186215
covtype,10,25,10,2,0.7155263861458719,0.4002225216384873,0.7155263861458719,0.409911532837021,0.6889443192947698,0.7155263861458719,0.549414028391345
covtype,10,25,10,3,0.7198782752217867,0.409317515359517,0.7198782752217867,0.4314470821588009,0.7200436107605401,0.7198782752217867,0.5550480047464992
covtype,10,25,10,4,0.7230770556206493,0.38907749621478294,0.7230770556206493,0.3896615775277321,0.7128322219869375,0.7230770556206493,0.5583947442292286
covtype,10,25,10,5,0.7244781425222611,0.3873937780588582,0.7244781425222611,0.3849452884492966,0.6972072670784936,0.7244781425222611,0.5595463362547204
